,msg_type,count,msg_channel,msg_note,msg_velocity,tick
319,['note_on'],1,[0],[67],[64],1560
320,['note_on'],1,[0],[67],[64],1560
321,['note_on'],1,[0],[67],[64],1560
322,['note_on'],1,[0],[67],[64],1560
323,['note_on'],1,[0],[67],[64],1560
324,['note_on'],1,[0],[67],[64],1560
325,['note_on'],1,[0],[67],[64],1560
326,['note_on'],1,[0],[67],[64],1560
327,['note_on'],1,[0],[67],[64],1560
328,['note_on'],1,[0],[67],[64],1560
329,['note_on'],1,[0],[67],[64],1560
330,['note_on'],1,[0],[67],[64],1560
331,['note_on'],1,[0],[67],[64],1560
332,['note_on'],1,[0],[67],[64],1560
333,['note_on'],1,[0],[67],[64],1560
334,['note_on'],1,[0],[67],[64],1560
335,['note_on'],1,[0],[67],[64],1560
336,['note_on'],1,[0],[67],[64],1560
337,['note_on'],1,[0],[67],[64],1560
338,['note_on'],1,[0],[67],[64],1560
339,['note_on'],1,[0],[67],[64],1560
340,['note_on'],1,[0],[67],[64],1560
341,['note_on'],1,[0],[67],[64],1560
342,['note_on'],1,[0],[67],[64],1560
343,['note_on'],1,[0],[67],[64],1560
344,['note_on'],1,[0],[67],[64],1560
345,['note_on'],1,[0],[67],[64],1560
346,['note_on'],1,[0],[67],[64],1560
347,['note_on'],1,[0],[67],[64],1560
348,['note_on'],1,[0],[67],[64],1560
349,['note_on'],1,[0],[67],[64],1560
350,['note_on'],1,[0],[67],[64],1560
351,['note_on'],1,[0],[67],[64],1560
352,['note_on'],1,[0],[67],[64],1560
353,['note_on'],1,[0],[67],[64],1560
354,['note_on'],1,[0],[67],[64],1560
355,['note_on'],1,[0],[67],[64],1560
356,['note_on'],1,[0],[67],[64],1560
357,['note_on'],1,[0],[67],[64],1560
358,['note_on'],1,[0],[67],[64],1560
359,['note_on'],1,[0],[67],[64],1560
360,['note_on'],1,[0],[67],[64],1560
361,['note_on'],1,[0],[67],[64],1560
362,['note_on'],1,[0],[67],[64],1560
363,['note_on'],1,[0],[67],[64],1560
364,['note_on'],1,[0],[67],[64],1560
365,['note_on'],1,[0],[67],[64],1560
366,['note_on'],1,[0],[67],[64],1560
367,['note_on'],1,[0],[67],[64],1560
368,['note_on'],1,[0],[67],[64],1560
369,['note_on'],1,[0],[67],[64],1560
370,['note_on'],1,[0],[67],[64],1560
371,['note_on'],1,[0],[67],[64],1560
372,['note_on'],1,[0],[67],[64],1560
373,['note_on'],1,[0],[67],[64],1560
374,['note_on'],1,[0],[67],[64],1560
375,['note_on'],1,[0],[67],[64],1560
376,['note_on'],1,[0],[67],[64],1560
377,['note_on'],1,[0],[67],[64],1560
378,['note_on'],1,[0],[67],[64],1560
379,['note_on'],1,[0],[67],[64],1560
380,['note_on'],1,[0],[67],[64],1560
381,['note_on'],1,[0],[67],[64],1560
382,['note_on'],1,[0],[67],[64],1560
383,['note_on'],1,[0],[67],[64],1560
384,['note_on'],1,[0],[67],[64],1560
385,['note_on'],1,[0],[67],[64],1560
386,['note_on'],1,[0],[67],[64],1560
387,['note_on'],1,[0],[67],[64],1560
388,['note_on'],1,[0],[67],[64],1560
389,['note_on'],1,[0],[67],[64],1560
390,['note_on'],1,[0],[67],[64],1560
391,['note_on'],1,[0],[67],[64],1560
392,['note_on'],1,[0],[67],[64],1560
393,['note_on'],1,[0],[67],[64],1560
394,['note_on'],1,[0],[67],[64],1560
395,['note_on'],1,[0],[67],[64],1560
396,['note_on'],1,[0],[67],[64],1560
397,['note_on'],1,[0],[67],[64],1560
398,['note_on'],1,[0],[67],[64],1560
399,['note_on'],1,[0],[67],[64],1560
400,['note_on'],1,[0],[67],[64],1560
401,['note_on'],1,[0],[67],[64],1560
402,['note_on'],1,[0],[67],[64],1560
403,['note_on'],1,[0],[67],[64],1560
404,['note_on'],1,[0],[67],[64],1560
405,['note_on'],1,[0],[67],[64],1560
406,['note_on'],1,[0],[67],[64],1560
407,['note_on'],1,[0],[67],[64],1560
408,['note_on'],1,[0],[67],[64],1560
409,['note_on'],1,[0],[67],[64],1560
410,['note_on'],1,[0],[67],[64],1560
411,['note_on'],1,[0],[67],[64],1560
412,['note_on'],1,[0],[67],[64],1560
413,['note_on'],1,[0],[67],[64],1560
414,['note_on'],1,[0],[67],[64],1560
415,['note_on'],1,[0],[67],[64],1560
416,['note_on'],1,[0],[67],[64],1560
417,['note_on'],1,[0],[67],[64],1560
418,['note_on'],1,[0],[67],[64],1560
419,['note_on'],1,[0],[67],[64],1560
420,['note_on'],1,[0],[67],[64],1560
421,['note_on'],1,[0],[67],[64],1560
422,['note_on'],1,[0],[67],[64],1560
423,['note_on'],1,[0],[67],[64],1560
424,['note_on'],1,[0],[67],[64],1560
425,['note_on'],1,[0],[67],[64],1560
426,['note_on'],1,[0],[67],[64],1560
427,['note_on'],1,[0],[67],[64],1560
428,['note_on'],1,[0],[67],[64],1560
429,['note_on'],1,[0],[67],[64],1560
430,['note_on'],1,[0],[67],[64],1560
431,['note_on'],1,[0],[67],[64],1560
432,['note_on'],1,[0],[67],[64],1560
433,['note_on'],1,[0],[67],[64],1560
434,['note_on'],1,[0],[67],[64],1560
435,['note_on'],1,[0],[67],[64],1560
436,['note_on'],1,[0],[67],[64],1560
437,['note_on'],1,[0],[67],[64],1560
438,['note_on'],1,[0],[67],[64],1560
439,['note_on'],1,[0],[67],[64],1560
440,['note_on'],1,[0],[67],[64],1560
441,['note_on'],1,[0],[67],[64],1560
442,['note_on'],1,[0],[67],[64],1560
443,['note_on'],1,[0],[67],[64],1560
444,['note_on'],1,[0],[67],[64],1560
445,['note_on'],1,[0],[67],[64],1560
446,['note_on'],1,[0],[67],[64],1560
447,['note_on'],1,[0],[67],[64],1560
448,['note_on'],1,[0],[67],[64],1560
449,['note_on'],1,[0],[67],[64],1560
450,['note_on'],1,[0],[67],[64],1560
451,['note_on'],1,[0],[67],[64],1560
452,['note_on'],1,[0],[67],[64],1560
453,['note_on'],1,[0],[67],[64],1560
454,['note_on'],1,[0],[67],[64],1560
455,['note_on'],1,[0],[67],[64],1560
456,['note_on'],1,[0],[67],[64],1560
457,['note_on'],1,[0],[67],[64],1560
458,['note_on'],1,[0],[67],[64],1560
459,['note_on'],1,[0],[67],[64],1560
460,['note_on'],1,[0],[67],[64],1560
461,['note_on'],1,[0],[67],[64],1560
462,['note_on'],1,[0],[67],[64],1560
463,['note_on'],1,[0],[67],[64],1560
464,['note_on'],1,[0],[67],[64],1560
465,['note_on'],1,[0],[67],[64],1560
466,['note_on'],1,[0],[67],[64],1560
467,['note_on'],1,[0],[67],[64],1560
468,['note_on'],1,[0],[67],[64],1560
469,['note_on'],1,[0],[67],[64],1560
470,['note_on'],1,[0],[67],[64],1560
471,['note_on'],1,[0],[67],[64],1560
472,['note_on'],1,[0],[67],[64],1560
473,['note_on'],1,[0],[67],[64],1560
474,['note_on'],1,[0],[67],[64],1560
475,['note_on'],1,[0],[67],[64],1560
476,['note_on'],1,[0],[67],[64],1560
477,['note_on'],1,[0],[67],[64],1560
478,['note_on'],1,[0],[67],[64],1560
479,['note_on'],1,[0],[67],[64],1560
480,['note_on'],1,[0],[67],[64],1560
481,['note_on'],1,[0],[67],[64],1560
482,['note_on'],1,[0],[67],[64],1560
483,['note_on'],1,[0],[67],[64],1560
484,['note_on'],1,[0],[67],[64],1560
485,['note_on'],1,[0],[67],[64],1560
486,['note_on'],1,[0],[67],[64],1560
487,['note_on'],1,[0],[67],[64],1560
488,['note_on'],1,[0],[67],[64],1560
489,['note_on'],1,[0],[67],[64],1560
490,['note_on'],1,[0],[67],[64],1560
491,['note_on'],1,[0],[67],[64],1560
492,['note_on'],1,[0],[67],[64],1560
493,['note_on'],1,[0],[67],[64],1560
494,['note_on'],1,[0],[67],[64],1560
495,['note_on'],1,[0],[67],[64],1560
496,['note_on'],1,[0],[67],[64],1560
497,['note_on'],1,[0],[67],[64],1560
498,['note_on'],1,[0],[67],[64],1560
499,['note_on'],1,[0],[67],[64],1560
500,['note_on'],1,[0],[67],[64],1560
501,['note_on'],1,[0],[67],[64],1560
502,['note_on'],1,[0],[67],[64],1560
503,['note_on'],1,[0],[67],[64],1560
504,['note_on'],1,[0],[67],[64],1560
505,['note_on'],1,[0],[67],[64],1560
506,['note_on'],1,[0],[67],[64],1560
507,['note_on'],1,[0],[67],[64],1560
508,['note_on'],1,[0],[67],[64],1560
509,['note_on'],1,[0],[67],[64],1560
510,['note_on'],1,[0],[67],[64],1560
511,['note_on'],1,[0],[67],[64],1560
512,['note_on'],1,[0],[67],[64],1560
513,['note_on'],1,[0],[67],[64],1560
514,['note_on'],1,[0],[67],[64],1560
515,['note_on'],1,[0],[67],[64],1560
516,['note_on'],1,[0],[67],[64],1560
517,['note_on'],1,[0],[67],[64],1560
518,['note_on'],1,[0],[67],[64],1560
519,['note_on'],1,[0],[67],[64],1560
520,['note_on'],1,[0],[67],[64],1560
521,['note_on'],1,[0],[67],[64],1560
522,['note_on'],1,[0],[67],[64],1560
523,['note_on'],1,[0],[67],[64],1560
524,['note_on'],1,[0],[67],[64],1560
525,['note_on'],1,[0],[67],[64],1560
526,['note_on'],1,[0],[67],[64],1560
527,['note_on'],1,[0],[67],[64],1560
528,['note_on'],1,[0],[67],[64],1560
529,['note_on'],1,[0],[67],[64],1560
530,['note_on'],1,[0],[67],[64],1560
531,['note_on'],1,[0],[67],[64],1560
532,['note_on'],1,[0],[67],[64],1560
533,['note_on'],1,[0],[67],[64],1560
534,['note_on'],1,[0],[67],[64],1560
535,['note_on'],1,[0],[67],[64],1560
536,['note_on'],1,[0],[67],[64],1560
537,['note_on'],1,[0],[67],[64],1560
538,['note_on'],1,[0],[67],[64],1560
539,['note_on'],1,[0],[67],[64],1560
540,['note_on'],1,[0],[67],[64],1560
541,['note_on'],1,[0],[67],[64],1560
542,['note_on'],1,[0],[67],[64],1560
543,['note_on'],1,[0],[67],[64],1560
544,['note_on'],1,[0],[67],[64],1560
545,['note_on'],1,[0],[67],[64],1560
546,['note_on'],1,[0],[67],[64],1560
547,['note_on'],1,[0],[67],[64],1560
548,['note_on'],1,[0],[67],[64],1560
549,['note_on'],1,[0],[67],[64],1560
550,['note_on'],1,[0],[67],[64],1560
551,['note_on'],1,[0],[67],[64],1560
552,['note_on'],1,[0],[67],[64],1560
553,['note_on'],1,[0],[67],[64],1560
554,['note_on'],1,[0],[67],[64],1560
555,['note_on'],1,[0],[67],[64],1560
556,['note_on'],1,[0],[67],[64],1560
557,['note_on'],1,[0],[67],[64],1560
558,['note_on'],1,[0],[67],[64],1560
